ア行,カ行,サ行,タ行,ナ行,ハ行,マ行,ヤ行,ラ行,ワ行,その他
ｱ,ｶ,ｻ,ﾀ,ﾅ,ﾊ,ﾏ,ﾔ,ﾗ,ﾜ,ﾞ
ｲ,ｷ,ｼ,ﾁ,ﾆ,ﾋ,ﾐ,ﾕ,ﾘ,,ﾟ
ｳ,ｸ,ｽ,ﾂ,ﾇ,ﾌ,ﾑ,ﾖ,ﾙ,,ｰ
ｴ,ｹ,ｾ,ﾃ,ﾈ,ﾍ,ﾒ,,ﾚ,,｡
ｵ,ｺ,ｿ,ﾄ,ﾉ,ﾎ,ﾓ,,ﾛ,ｦ,､
,ｶﾞ,ｻﾞ,ﾀﾞ,,ﾊﾞ,,,,,｢
,ｷﾞ,ｼﾞ,ﾁﾞ,,ﾋﾞ,,,,,｣
ｳﾞ,ｸﾞ,ｽﾞ,ﾂﾞ,,ﾌﾞ,,,,,
,ｹﾞ,ｾﾞ,ﾃﾞ,,ﾍﾞ,,,,,
,ｺﾞ,ｿﾞ,ﾄﾞ,,ﾎﾞ,,,,,
ｧ,,,,,ﾊﾟ,,ｬ,,,
ｨ,,,,,ﾋﾟ,,ｭ,,,
ｩ,,,ｯ,,ﾌﾟ,,ｮ,,,
ｪ,,,,,ﾍﾟ,,,,,
ｫ,,,,,ﾎﾟ,,,,ﾝ,
