#,ÉvÉçÉWÉFÉNÉg,ÉgÉâÉbÉJÅ[,êeÉ`ÉPÉbÉg,ÉXÉeÅ[É^ÉX,óDêÊìx,ëËñº,çÏê¨é“,íSìñé“,çXêVì˙,ÉJÉeÉSÉä,ëŒè€ÉoÅ[ÉWÉáÉì,äJénì˙,ä˙ì˙,ó\íËçHêî,êiíªó¶,çÏê¨ì˙,èIóπì˙,ä÷òAÇ∑ÇÈÉ`ÉPÉbÉg,Resolution,Affected version,ê‡ñæ
18622,Redmine,Defect,"",Closed,High,Awesome nested set. Need to update.,Vasil Kovalevsky,"",2015-01-10 22:23,"","","","","",0,2014-12-11 03:06,2015-01-10 22:23,"",Wont fix,"","Hello. In rm 2.6 you are using older version of awesome_nested_set, which has the bug in method move_to_root.
Code from lib, which using in rm 2.6:
<pre>
def move_to_root
  move_to_right_of(root)
end
</pre>
Its fail for every call.

Code of current version of lib (was fixed in 2013 !!! now will be 2015 soon):
<pre>
def move_to_root
  move_to self, :root
end
</pre>

It very important for us. Can you update lib in your repository ? And i did not figure our which version of lib you are using (2.1.7 does not exist in official repository)"
18605,Redmine,Defect,"",Closed,Normal,Wrong usage of logger.info to test log level,J?r?me BATAILLE,Jean-Philippe Lang,2014-12-14 22:56,Code cleanup/refactoring,3.0.0,"","","",0,2014-12-09 10:41,2014-12-14 22:54,"",Fixed,"","logger.info (instead of logger.info?) can trigger an error

Line 185 :
<pre><code class=""ruby"">logger.info ""time entry could not be updated: #{time_entry.errors.full_messages}"" if logger && logger.info
</code></pre>

replace by :
<pre><code class=""ruby"">logger.info ""time entry could not be updated: #{time_entry.errors.full_messages}"" if logger && logger.info?
</code></pre>



"
18592,Redmine,Defect,"",New,Normal,Issue Update confirmation viewed on other screens,Krzysztof Moskalik,"",2014-12-08 11:36,Issues,"","","","",0,2014-12-08 11:34,"","","","","If I update issue and refresh issue list on other tab ""Successful update."" message will appear on issues list."
18590,Redmine,Defect,"",Closed,Normal,login screen not working,Subir Pratap,"",2015-04-14 19:24,"","","","","",0,2014-12-08 06:13,2015-04-14 19:24,"",Invalid,"","# click launch icon
# Click on Signin
# there is no validaton for Username "
18588,Redmine,Defect,"",Closed,Normal,Lighbox plugin doesn't show pdf content,nda 888,"",2014-12-08 03:21,Issues,"","","","",0,2014-12-07 13:46,2014-12-07 21:46,"",Invalid,2.5.1,"Today i install lightbox plugin from:
http://www.redmine.org/plugins/redmine_lightbox

But unfortunately, it doesn't work on pdf, image is ok

Could you help me to update to newer version to fix this issue

My redmine system version is 2.5.1"
18587,Redmine,Patch,"",Closed,Normal,Swedish translation (updated),Khedron Wilk,"",2015-01-03 14:39,Translations,2.6.1,"","","",0,2014-12-06 20:03,2015-01-03 14:39,"","","","Updated translation for Swedish language, based on earlier translation but now including Redmine 2.6.0.
Only sv.yml is changed, there were no changes needed in jstoolbar-sv.js.
Instructions at redmine.org has been followed and the attached file is already in use at a local redline-installation.
"
18586,Redmine,Defect,"",Closed,Normal,Arabic PDF,Toshi MARUYAMA,"",2015-02-08 12:26,PDF export,2.6.2,"","","",0,2014-12-06 14:35,2015-02-08 12:26,ä÷òAÇµÇƒÇ¢ÇÈ #10681,Fixed,"","#16040 has pdf and csv problems.
This is for only pdf problem."
18584,Redmine,Defect,"",Closed,Normal,Custom fields of user format reset when a user is locked,Cory Riddell,Jean-Philippe Lang,2014-12-06 12:21,Custom fields,"","","","",0,2014-12-05 22:29,2014-12-06 12:21,"",Fixed,2.4.2,"Terrible title, but I'll try to explain with our specific problem.

We created a custom field named ""Tester"" and its format is ""User"". When somebody tests an issue that we've marked *resolved*, they set themselves as the tester. 

This works very well for us because I can search for all the issues for which I am a tester. It fails though, when an employee leaves the company and we lock the user account. From that point on, any edits to the bug will reset our custom *Tester* field and make it empty. 

We are currently using v2.4.2 or Redmine."
18580,Redmine,Defect,"",Closed,Normal,"Can't bulk edit own time entries with ""Edit own time entries""",Evgeniy Veretennikov,Jean-Philippe Lang,2015-06-25 16:22,Time tracking,2.6.5,"","","",0,2014-12-05 13:08,2015-05-10 09:19,"",Fixed,"","We use a lot Redmine possibility to track time for issues in our projects, and it works nicely. But we'd like to have something more: an opportunity to change issue for several spent time entries simultaneously. So, how it could behave: on page with issue's time entries change select checkboxes near several entries and then click edit button. If we change issue number at the next page (issue editor), then other selected entries have to change their issue number. It seems logically clear behaviour.

Also it were really good if we could edit user field of spent time entry on issue editor page. It should be just new field on the form (there is no user field on form now). But I'm not sure, would there be another feature request?"
18572,Redmine,Defect,"",Closed,Normal,some problems with file uploader,tester testownik,"",2014-12-05 03:53,Attachments,"","","","",0,2014-12-05 01:39,2014-12-05 03:49,"","",2.6.0,"I'm just using redmine on some project (I'm not admin) and was asked to pass it forward, so apologies if some infos are incomplete. But this is a general problem, probably related to this: #3957

The redmine was updated to most recent official version few days ago, and a problem occurred with file uploader.

1) If the ""add file"" button is not clicked, the file should be deleted from the server.

2) It starts uploading a file after selecting the file, and not after deciding to create the ticket (in earlier version, the file was uploaded after final confirmation on ticket).

Doesn't seem to be configurable, and you cannot cancel a file once it's been uploaded (so it will use server space, even if you don't click the ""add"" button."
18565,Redmine,Patch,"",Closed,Normal,html improvements on project landing page,Tobias Fischer,Jean-Philippe Lang,2014-12-14 12:21,Code cleanup/refactoring,3.0.0,"","","",0,2014-12-04 12:21,2014-12-13 19:24,"","","","This patch improves use of html elements on project landing page.

It
* wrapps all kind of ""labels"" in @<span class=""label"">...</span>@
** e.g. the member roles in the member box
* changes content of the member box to one paragraph per role instead of one paragraph for all roles
* wraps news comment label in a @<span class=""comments"">...</span>@

This is useful if you'd like to bolden the member roles for example.

patched against r13697"
18563,Redmine,Patch,"",Closed,Normal,German Translation for label_edit_attachments,Daniel Felix,"",2014-12-06 14:54,Translations,"","","","",0,2014-12-04 09:41,2014-12-06 14:54,"","","","@
label_edit_attachments: Angeh?ngte Dateien bearbeiten
@"
18562,Redmine,Patch,"",Closed,Normal,German Translation for r13669 ,Daniel Felix,"",2014-12-06 14:51,Translations,"","","","",0,2014-12-04 09:39,2014-12-06 14:51,"","","","This is the translation for the new string in r13669:

@
setting_link_copied_issue: Link issues on copy
label_link_copied_issue: Link copied issue
label_ask: Ask
@

should be:

@
setting_link_copied_issue: Tickets beim kopieren verlinken
label_link_copied_issue: Kopierte Tickets verlinken
label_ask: Nachfragen
@
"
18559,Redmine,Defect,"",Closed,Normal,No status matches commit_fix_status_id setting,Tung Le,"",2014-12-04 08:19,"","","","","",0,2014-12-04 06:46,2014-12-04 08:19,"",Invalid,"","I use this plugin to connect git and redmine: https://github.com/koppen/redmine_github_hook
Whenever there is a commit to github, redmine keeps spitting out this line: 

*No status matches commit_fix_status_id setting*

The rate of its appearance is every second, like it is in a loop. Anybody know how to fix/mitigate this? 
Thanks"
18557,Redmine,Defect,"",New,Normal,Hyperlink stripped from the text-html mimepart section of email footer,Scott Pestana,"",2015-01-02 05:10,Email notifications,"","","","",0,2014-12-03 22:44,"","","","","We're starting to deploy Redmine when a user pointed out that the address provided needed to be updated and should be a hyperlink.  I created a normal a tag with an href that goes out in the text/plain section of the email but not the text/html section of the email (which is what Thunderbird displays).  Is there some conversion / editing going on here?

Example:
To: undisclosed-recipients:;

----==_mimepart_547f7f622b402_2fb94315160474c9
Content-Type: text/plain;
 charset=UTF-8
Content-Transfer-Encoding: 7bit

This is a test email sent by Redmine.
Redmine URL: https://---.---.com/---/redmine/

-- 
You have received this notification because you have either subscribed to it, or are involved in it.
To change your notification preferences, please click <a href=""https://---.---com/---/redmine/my/account"">here</a>.

----==_mimepart_547f7f622b402_2fb94315160474c9
Content-Type: text/html;
 charset=UTF-8
Content-Transfer-Encoding: 7bit

<html>
<head>
<style>
... CSS omitted for space ...
</style>
</head>
<body>
<p>This is a test email sent by Redmine.<br />
Redmine URL: <a href=""https://---.---.com/---redmine/"">https://---.---.com/---/redmine/</a></p>

<hr />
<span class=""footer""><p>You have received this notification because you have either subscribed to it, or are involved in it.<br>
To change your notification preferences, please click here.</p>
</span>
</body>
</html>

----==_mimepart_547f7f622b402_2fb94315160474c9--

And here's our information page:

Redmine 2.5.2.stable
Default administrator account changed 	True
Attachments directory writable 	True
Plugin assets directory writable 	True
RMagick available (optional) 	True
ImageMagick convert available (optional) 	True

Environment:
  Redmine version                2.5.2.stable
  Ruby version                   1.9.3-p547 (2014-05-14) [x86_64-linux]
  Rails version                  3.2.19
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.6.11
  Mercurial                      2.4
  Git                            1.7.1
  Filesystem                     
Redmine plugins:
  readme_at_repositories         0.2.1
  redmine_agile                  1.3.3
  redmine_backlogs               v1.0.6
  redmine_contacts               3.3.0
  redmine_contacts_helpdesk      2.2.12
  redmine_ldap_sync              2.0.3

"
18555,Redmine,Defect,"",New,Normal,Notify user when attempting to attach more than the allowed number of attachments,Stephen Ostrow,"",2014-12-03 21:38,Attachments,"","","","",0,2014-12-03 21:38,"","ä÷òAÇµÇƒÇ¢ÇÈ #18556, éüÇÃÉ`ÉPÉbÉgÇ™èdï° #18642","",2.5.3,"I was just notified by an employee of mine that my ticket was missing some of the attached files that should have been there. I thought I had merely forgot to attach them; however, upon repeating my edit due to needing to remake all the files I learned that redmine has a hard limit of 10 files attached per edit.

Although I'm not sure why this limit exists (I'll be adding another issue to make this a setting or remove it) redmine should definitely alert the end user to the limit both beforehand such as like the the text for max file size is displayed as well as after an attempt to add more than 10 files is added (javascript alert box or something similar).

This is related to issue #8579
This is the code in question: source:/trunk/public/javascripts/attachments.js#L6"
